Company,cik,permno
FOREST CITY ENTERPRISES INC,38067,65584
HERITAGE FINANCIAL GROUP,1493491,90730
EMBARCADERO TECHNOLOGIES INC,1107112,88157
CARBON ENERGY CORP,86264,87578
FIRSTMERIT CORP,354869,35167
INTERDIGITAL COMMUNICATIONS CORP,354913,45306
CAPSULE COMMUNICATIONS INC,1113227,80163
COMMERCE ONE INC,1131806,87103
COOLSAVINGS COM INC,1087875,88247
VERTEX INTERACTIVE INC,779681,10637
PORTAL SOFTWARE INC,1080306,86913
SILICON LABORATORIES INC,1038074,87812
CITIZENS COMMUNICATIONS CO,20520,23887
FIRST YEARS INC,55698,47707
CAVALRY BANCORP INC,1049535,85861
ACCELERATED NETWORKS INC,1108185,88321
FIRST FEDERAL BANCORP INC,885076,77916
ZYMEWORKS INC,1403752,16668
MERCATOR SOFTWARE INC,1039276,85218
ITRON INC,780571,79839
NASH FINCH CO,69671,56040
POLAROID CORP,79326,26438
NEW YORK TIMES CO,71691,47466
ELECTRIC CITY CORP,1065860,88850
COMMUNITY CAPITAL CORP,832847,84578
CLEAN HARBORS INC,822818,11809
DIONEX CORP,708850,30147
CARREKER CORP,1057709,86055
CONSOLIDATED GRAPHICS INC,921500,80621
NETWORK SIX INC,726714,79101
COLONIAL COMMERCIAL CORP,21828,52740
ARIAD PHARMACEUTICALS INC,884731,80918
LIFE TIME FITNESS INC,1076195,90210
RESEARCH FRONTIERS INC,793524,10463
PIONEER STANDARD ELECTRONICS INC,78749,63125
NETMANAGE INC,909793,79612
DYNATRONICS CORP,720875,31051
OMEGA FINANCIAL CORP,705671,77504
CONCORD CAMERA CORP,831861,11998
SYNTROLEUM CORP,1029023,85211
BLUEGREEN CORP,778946,90916
MACDERMID INC,61138,50666
AMCORE FINANCIAL INC,714756,10304
HARTE HANKS INC,45919,79903
TUPPERWARE CORP,1008654,83462
AVNET INC,8858,27684
PAREXEL INTERNATIONAL CORP,799729,82607
MORTONS RESTAURANT GROUP INC,883981,77653
SOUTHERN MISSOURI BANCORP INC,916907,80478
USDATA CORP,943895,81758
TEMPLE INLAND INC,731939,66114
MAGNUM HUNTER RESOURCES INC,854271,79910
COACHMEN INDUSTRIES INC,21212,56741
PROTECTION ONE INC,916230,80915
MONARCH DENTAL CORP,1009900,85193
AVATAR HOLDINGS INC,39677,16030
NATIONAL RESEARCH CORP,70487,85482
HFB FINANCIAL CORP,892157,88348
TUTOGEN MEDICAL INC,816949,88493
PITNEY BOWES INC,78814,24459
HVIDE MARINE INC,922341,88866
CABLEVISION SYSTEMS CORP,1053112,88919
UROLOGIX INC,882873,83575
SOLUTIA INC,1043382,85266
SOUTHFIRST BANCSHARES INC,925963,81291
ATMI INC,1041577,79799
OSHKOSH TRUCK CORP,775158,90756
PHOTOWORKS INC,791050,10235
MCGRATH RENTCORP,752714,89915
HALLMARK FINANCIAL SERVICES INC,819913,75985
DIXIE GROUP INC,29332,10886
BONTEX INC,41052,38827
TRENWICK GROUP LTD,1122211,10388
WILLIAMS SONOMA INC,719955,83011
OWOSSO CORP,921046,81004
VIDAMED INC,929900,81760
PAMRAPO BANCORP INC,854071,75856
BSQUARE CORP,1054721,87302
IMANAGE INC,1093242,87393
MICRON ELECTRONICS INC,854460,75993
ROCK OF AGES CORP,84581,85500
APPLERA CORP,77551,86806
FIRST NIAGARA FINANCIAL GROUP IN,1051741,85994
COMMONWEALTH INDUSTRIES INC,934747,81475
BRADY CORP,746598,18973
ARISTOTLE CORP,790071,75503
METRO INFORMATION SERVICES INC,1026965,84428
TITAN CORP,32258,48696
CREDO PETROLEUM CORP,277924,27677
APPLIED IMAGING CORP,816066,84186
DRUGMAX COM INC,921878,87386
ALPINE GROUP INC,4164,68814
WATCHGUARD TECHNOLOGIES INC,1062019,87097
OFFICIAL PAYMENTS CORP,1094998,87456
NEWPORT CORP,225263,57534
GILMAN & CIOCIA INC,914142,81156
WOMEN FIRST HEALTHCARE INC,1081004,87008
MICROS TO MAINFRAMES INC,906282,79721
HYCOR BIOMEDICAL INC,719447,42981
HEALTHCARE RECOVERIES INC,858629,84811
MULTEX COM INC,1061310,86779
CROSS A T CO,25793,53575
ALTERNATE MARKETING NETWORKS INC,949244,82250
LANVISION SYSTEMS INC,1008586,83391
INTERTAN INC,803227,10999
BOWL AMERICA INC,13573,60898
MACROCHEM CORP,743884,89771
TRANSMONTAIGNE OIL CO,755199,80098
MIDAS INC,1046131,85770
CONNECTICUT BANCSHARES INC,1097882,87809
ROGERS CORP,84748,35991
GENCORP INC,40888,20765
QUESTRON TECHNOLOGY INC,732152,89325
DIGITAL RECORDERS INC,853695,81109
FOAMEX INTERNATIONAL INC,912908,79971
SIERRA HEALTH SERVICES INC,754009,67723
KELLSTROM INDUSTRIES INC,918275,82184
CARRINGTON LABORATORIES INC,718007,15991
CYPRESS BIOSCIENCE INC,716054,43290
OCEANEERING INTERNATIONAL INC,73756,58975
DATARAM CORP,27093,63546
SAFLINK CORP,847555,79100
TEJON RANCH CO,96869,57007
KIRBY CORP,56047,59045
REGENERATION TECHNOLOGIES INC,1100441,88564
BORGWARNER INC,908255,79545
HEALTHPLAN SERVICES CORP,942319,81656
MID PENN BANCORP INC,879635,85656
STANFORD MICRODEVICES INC,1103777,88262
OCWEN FINANCIAL CORP,873860,84007
DIGITAL VIDEO SYSTEMS INC,1009395,83496
ADEPT TECHNOLOGY INC,865415,82664
MEADOWBROOK INSURANCE GROUP INC,949156,82644
UNITED RENTALS INC,1067701,85663
PATRICK INDUSTRIES INC,76605,61496
INSURANCE AUTO AUCTIONS INC,880026,77106
PYRAMID BREWERIES INC,1001917,82710
PLUG POWER INC,1093691,87337
CARDIAC PATHWAYS CORP,1012367,83645
NICOR INC,72020,48274
FRESH CHOICE INC,893741,78198
HIRSCH INTERNATIONAL CORP,915909,80245
VARI LITE INTERNATIONAL INC,1033491,85478
STANDARD AUTOMOTIVE CORP,1043505,85775
PROFESSIONAL DETAILING INC,1054102,86083
SERVICEWARE TECHNOLOGIES INC,1062606,88570
VENTIV HEALTH INC,1089473,87257
MODTECH HOLDINGS INC,1075066,76228
WOODWARD GOVERNOR CO,108312,84403
PHILLIPS VAN HEUSEN CORP,78239,13936
MEDTOX SCIENTIFIC INC,739944,87637
INNOVEDA INC,925072,84125
POWERCERV CORP,1005758,83298
TELEDYNE TECHNOLOGIES,1094285,87445
UNION BANKSHARES CORP,883948,79747
UBRANDIT COM,1082384,87667
MICRONETICS WIRELESS INC,820097,11903
CONSOLIDATED TOMOKA LAND CO,23795,26650
NORTHEAST BANCORP,811831,75556
PANERA BREAD CO,724606,76695
CAMDEN NATIONAL CORP,750686,85418
TALK CITY INC,1080088,87122
IMPROVENET INC,1043561,87780
SHOPKO STORES INC,878314,77077
ELEC COMMUNICATIONS CORP,90721,70798
STATE AUTO FINANCIAL CORP,874977,76722
HILB ROGAL & HAMILTON CO,814898,11509
BRIDGE TECHNOLOGY INC,1048273,88150
SEMINIS INC,1078259,87021
NORWOOD FINANCIAL CORP,1013272,85883
HYPERFEED TECHNOLOGIES INC,745774,60354
BOSTON BIOMEDICA,830656,84056
MERCER INTERNATIONAL INC,1333274,75578
JAMESON INNS INC,914373,80495
MAXXAM INC,63814,34067
ADVO INC,801622,10657
SONOMAWEST HOLDINGS INC,102588,79944
LABRANCHE & CO INC,1089044,87140
BRYN MAWR BANK CORP,802681,86124
LANDS END INC,799288,75232
EXCELON CORP,1014955,83776
POWER ONE INC,1042825,85516
PICCADILLY CAFETERIAS INC,277923,62907
ECOLOGY & ENVIRONMENT INC,809933,71837
CHOLESTECH CORP,887227,77701
RAILWORKS CORP,1061857,86289
SECURITY NATIONAL FINANCIAL CORP,318673,11593
Q MED,729213,65067
SOCKET COMMUNICATIONS INC,944075,81741
AMERICAN TECHNOLOGY CORP,924383,87053
TRANS LUX CORP,99106,37460
WEBSENSE INC,1098277,87827
SPORTS AUTHORITY INC,912262,81064
PANJA INC,944248,82549
USURF AMERICA INC,1035398,87294
INTEVAC INC,1001902,82587
RADIANCE MEDICAL SYSTEMS INC,1013606,83633
ARTISAN COMPONENTS INC,1048982,85803
OSTEX INTERNATIONAL INC,932631,81221
D & K HEALTHCARE RESOURCES INC,888914,77887
CELADON GROUP INC,865941,80113
EDISON SCHOOLS INC,1089567,87450
INSITE VISION INC,802724,79703
ARTESYN TECHNOLOGIES INC,23071,26009
EQUITY MARKETING INC,911151,80239
MICROLOG CORP,792094,10256
VALLEY NATIONAL BANCORP,714310,80072
FIRSTWORLD COMMUNICATIONS INC,1061583,87770
LANDAUER INC,825410,37217
IMMUNEERING CORP,1790340,21732
CORE MATERIALS CORP,1026655,84387
MONOCLE ACQUISITION CORP,1754170,18410
OXFORD INDUSTRIES INC,75288,34948
GRAHAM CORP,716314,60468
PER SE TECHNOLOGIES INC,878556,77032
MERRILL MERCHANTS BANCSHARES INC,913072,86332
IL FORNAIO AMERICA CORP,724522,85378
TULARIK INC,889057,87513
AWARE INC,1015739,83844
BOSTONFED BANCORP INC,948515,82294
LEARNING TREE INTERNATIONAL INC,1002037,82720
CATALINA LIGHTING INC,822665,75286
COMMUNICATIONS SYSTEMS INC,22701,25452
EMBREX INC,878725,77099
REMINGTON OIL & GAS CORP,874992,77555
TIMBERLAND BANCORP INC,1046050,85751
ULTIMATE SOFTWARE GROUP,1016125,86196
HYTEK MICROSYSTEMS INC,715593,43167
AMERICAN ACCESS TECHNOLOGIES INC,1043186,86812
BLOCKBUSTER INC,1085734,87134
ELECTRONIC CLEARING HOUSE INC,721773,75998
CITIZENS HOLDING CO,1075706,87269
VALUECLICK INC,1080034,88207
CONCORD COMMUNICATIONS,915290,85458
MEDIACOM COMMUNICATIONS CORP,1098659,87618
FILM ROMAN INC,1013236,84121
WAYNE SAVINGS BANCSHARES INC,1036030,79313
ADVANCE FINANCIAL BANCORP,1023398,84404
FLOWSERVE CORP,30625,30940
LITTELFUSE INC,889331,77918
TENNANT CO,97134,75460
FALMOUTH BANCORP INC,1027280,83203
AEHR TEST SYSTEMS,1040470,85272
QUOTESMITH COM INC,1079996,87183
GERMAN AMERICAN BANCORP,714395,79166
HELLER FINANCIAL INC,46738,86018
ZAPATA CORP,109177,38295
N2H2 INC,1077301,87083
MEDIUM4 COM INC,1077634,88231
WHITMAN EDUCATION GROUP INC,352183,82801
QUAKER CHEMICAL CORP,81362,64929
OSTEOTECH INC,874734,76710
NETWORK PERIPHERALS INC,922521,80652
WATERSIDE CAPITAL CORP,924095,85756
GAIAM INC,1089872,87321
CVRX INC,1235912,21527
ASK JEEVES INC,1054298,87100
APOLLO GROUP INC,929887,88649
TELTRONICS INC,97052,75968
FRISCHS RESTAURANTS INC,39047,57330
ZONAGEN INC,897075,79025
VARIFLEX INC,921366,80669
INGLES MARKETS INC,1285656,11701
EXTENDED STAY AMERICA INC,1002579,82751
SELECT COMFORT CORP,827187,86489
MARCHEX INC,1224133,90088
CASTLE DENTAL CENTERS INC,1018152,85363
OPENWAVE SYSTEMS INC,1082506,86990
SAGA COMMUNICATIONS INC,886136,79033
BOXLIGHT CORP,1624512,17107
NATIONAL TECHTEAM INC,805054,11910
VALUE LINE INC,717720,80179
HARVARD BIOSCIENCE INC,1123494,88839
TRANSFINANCIAL HOLDINGS INC,719271,77200
YOUTHSTREAM MEDIA NETWORKS INC,1103926,83398
BIONUTRICS,1030839,85530
FOSSIL INC,883569,79089
CHIPPAC INC,1093779,88508
BOSTON ACOUSTICS INC,805268,10935
BREAKAWAY SOLUTIONS INC,1076643,87304
PALOMAR MEDICAL TECHNOLOGIES INC,881695,78193
MARIMBA INC,1078295,86836
ADAMS RESOURCES & ENERGY INC,2178,61487
ASIAINFO HOLDINGS INC,1100969,87752
MEDALLION FINANCIAL CORP,1000209,83565
BIOMERICA INC,73290,55862
MAPINFO CORP,916238,80252
EB2B COMMERCE INC,317788,88518
ARENA PHARMACEUTICALS INC,1080709,88421
ISTA PHARMACEUTICALS INC,930553,88535
ENERGY PARTNERS LTD,750199,88817
MARTEK BIOSCIENCES CORP,892025,79847
ELECTRIC FUEL CORP,916529,80237
MEDIALINK WORLDWIDE INC,812890,84426
WASHINGTON MUTUAL INC,933136,81593
FISCHER IMAGING CORP,750901,76793
COVEST BANCSHARES INC,885694,77758
METRICOM INC,884318,77572
CARAUSTAR INDUSTRIES INC,825692,77967
ENVIRONMENTAL TECTONICS CORP,33113,33188
EVERLAST WORLDWIDE INC,934795,81595
VALUEVISION INTERNATIONAL INC,870826,77007
VISUAL DATA CORP,919130,85223
QUALMARK CORP,1006691,83407
INTERNEURON PHARMACEUTICALS INC,854222,76374
HANDSPRING INC,1091822,88347
MILTOPE GROUP INC,752692,90211
BRAZIL FAST FOOD CORP,914537,83483
DAVITA INC,927066,82307
WEBVAN GROUP INC,1092657,87428
SALTON INC,878280,77042
AEROCENTURY CORP,1036848,85757
INFOCROSSING INC,893816,78818
OAK TECHNOLOGY INC,824225,81265
RAYOVAC CORP,1028985,85625
PROSPERITY BANCSHARES INC,1068851,86432
TERADYNE INC,97212,51369
ENERGY WEST INC,43350,10001
MINDSPEED TECHNOLOGIES INC,1224370,89770
FINISAR CORP,1094739,87390
THOMAS GROUP INC,900017,79529
AMERICAN HOMESTAR CORP,922812,80753
PHYSIOMETRIX INC,1010397,83404
CORIXA CORP,1042561,85463
GREENE COUNTY BANCORP INC,1070524,87069
HARMONIC INC,851310,81621
AVANIR PHARMACEUTICALS,858803,76383
ENVIRONMENTAL TECHNOLOGIES CORP,888956,78146
ABLEAUCTIONS COM INC,1099290,88278
FOOTSTAR INC,1011308,83985
CLICKNSETTLE COM INC,925741,84237
HAWKER PACIFIC AEROSPACE,1049625,85732
NOBEL LEARNING COMMUNITIES INC,721237,62296
CALICO COMMERCE INC,1081154,87309
CUTERA INC,1162461,90081
AT TRACK COMMUNICATIONS INC,944400,81713
DURATEK INC,785186,75491
1 800 FLOWERS COM INC,1084869,87162
R H DONNELLEY CORP,30419,86109
BLUE DOLPHIN ENERGY CO,793306,76310
UNIVERSAL ACCESS INC,1070699,87823
MEDIA GENERAL INC,216539,50972
VASTERA INC,1075056,88651
AKORN INC,3116,10180
BRIGGS & STRATTON CORP,14195,17961
FREMONT GENERAL CORP,38984,37699
BERKSHIRE HILLS BANCORP INC,1108134,88280
IMMUNE RESPONSE CORP,817785,76166
PECO II INC,845072,88554
CONTINENTAL AIRLINES INC,319687,79641
NEMATRON CORP,892832,82509
OXBORO MEDICAL INC,350557,76966
ASHTON TECHNOLOGY GROUP INC,1003740,83472
SHOCHET HOLDING CORP,1100202,87811
ADVANTAGE LEARNING SYSTEMS INC,1030484,85353
